features                                                                             train    test
(0,)                                                                               0.56493 0.57080
(1,)                                                                               0.57440 0.57307
(2,)                                                                               0.45191 0.45107
(3,)                                                                               0.53524 0.52253
(4,)                                                                               0.56542 0.55493
(5,)                                                                               0.77858 0.78480
(6,)                                                                               0.79569 0.79907
(7,)                                                                               0.78444 0.78760
(8,)                                                                               0.78636 0.78920
(9,)                                                                               0.79022 0.78853
(10,)                                                                              0.78422 0.78160
(5, 6)                                                                             0.78822 0.79253
(5, 7)                                                                             0.77702 0.78293
(5, 8)                                                                             0.77760 0.78693
(5, 9)                                                                             0.78049 0.78707
(5, 10)                                                                            0.77520 0.78053
(6, 7)                                                                             0.77818 0.78240
(6, 8)                                                                             0.78196 0.78933
(6, 9)                                                                             0.78649 0.78800
(6, 10)                                                                            0.78018 0.78253
(7, 8)                                                                             0.77467 0.78067
(7, 9)                                                                             0.77809 0.77947
(7, 10)                                                                            0.77347 0.77547
(8, 9)                                                                             0.78111 0.78280
(8, 10)                                                                            0.77609 0.77613
(9, 10)                                                                            0.77818 0.77133
(5, 6, 7)                                                                          0.77809 0.78187
(5, 6, 8)                                                                          0.78076 0.78747
(5, 6, 9)                                                                          0.78582 0.78720
(5, 6, 10)                                                                         0.77560 0.77680
(5, 7, 8)                                                                          0.76813 0.77493
(5, 7, 9)                                                                          0.77182 0.77533
(5, 7, 10)                                                                         0.78062 0.78360
(5, 8, 9)                                                                          0.79129 0.79267
(5, 8, 10)                                                                         0.78409 0.78840
(5, 9, 10)                                                                         0.77182 0.77453
(6, 7, 8)                                                                          0.76978 0.77627
(6, 7, 9)                                                                          0.77338 0.77480
(6, 7, 10)                                                                         0.76729 0.77053
(6, 8, 9)                                                                          0.77893 0.78253
(6, 8, 10)                                                                         0.77049 0.77440
(6, 9, 10)                                                                         0.77524 0.77080
(7, 8, 9)                                                                          0.76973 0.77187
(7, 8, 10)                                                                         0.76596 0.76693
(7, 9, 10)                                                                         0.77178 0.77213
(8, 9, 10)                                                                         0.76960 0.76613
(5, 6, 7, 8)                                                                       0.77200 0.77600
(5, 6, 7, 9)                                                                       0.77596 0.77387
(5, 6, 7, 10)                                                                      0.76716 0.76680
(5, 6, 8, 9)                                                                       0.79600 0.79307
(5, 6, 8, 10)                                                                      0.77804 0.77747
(5, 6, 9, 10)                                                                      0.78053 0.77680
(5, 7, 8, 9)                                                                       0.78222 0.78187
(5, 7, 8, 10)                                                                      0.79173 0.79080
(5, 7, 9, 10)                                                                      0.78147 0.78267
(5, 8, 9, 10)                                                                      0.78604 0.78227
(6, 7, 8, 9)                                                                       0.76600 0.76813
(6, 7, 8, 10)                                                                      0.77244 0.77147
(6, 7, 9, 10)                                                                      0.77813 0.77547
(6, 8, 9, 10)                                                                      0.77276 0.77120
(7, 8, 9, 10)                                                                      0.76529 0.76533
(5, 6, 7, 8, 9)                                                                    0.78640 0.78293
(5, 6, 7, 8, 10)                                                                   0.79720 0.79293
(5, 6, 7, 9, 10)                                                                   0.79533 0.78973
(5, 6, 8, 9, 10)                                                                   0.79293 0.78387
(5, 7, 8, 9, 10)                                                                   0.79560 0.79040
(6, 7, 8, 9, 10)                                                                   0.77262 0.76907
(5, 6, 7, 8, 9, 10)                                                                0.80196 0.79307
(11,)                                                                              0.89880 0.62453
(12,)                                                                              0.88751 0.61613
(13,)                                                                              0.87569 0.60040
(14,)                                                                              0.86569 0.60627
(15,)                                                                              0.85951 0.60067
(16,)                                                                              0.84338 0.58867
(11, 12)                                                                           0.95191 0.72080
(11, 13)                                                                           0.95533 0.72187
(11, 14)                                                                           0.95653 0.72440
(11, 15)                                                                           0.95840 0.72813
(11, 16)                                                                           0.96009 0.72187
(12, 13)                                                                           0.94093 0.70907
(12, 14)                                                                           0.94516 0.71027
(12, 15)                                                                           0.94804 0.71453
(12, 16)                                                                           0.95049 0.71253
(13, 14)                                                                           0.92969 0.70213
(13, 15)                                                                           0.93667 0.70080
(13, 16)                                                                           0.93764 0.70373
