features                                                                             train    test
(0,)                                                                               0.53107 0.53773
(1,)                                                                               0.57440 0.57307
(2,)                                                                               0.45191 0.45107
(3,)                                                                               0.53524 0.52253
(4,)                                                                               0.54342 0.53653
(5,)                                                                               0.77858 0.78480
(6,)                                                                               0.79489 0.79907
(7,)                                                                               0.78431 0.78773
(8,)                                                                               0.43929 0.44067
(9,)                                                                               0.43787 0.43800
(10,)                                                                              0.44560 0.44440
(5, 6)                                                                             0.77871 0.78467
(5, 7)                                                                             0.76627 0.77293
(5, 8)                                                                             0.76511 0.77480
(5, 9)                                                                             0.76760 0.77453
(5, 10)                                                                            0.76293 0.76987
(6, 7)                                                                             0.78258 0.78693
(6, 8)                                                                             0.78489 0.79173
(6, 9)                                                                             0.78751 0.78973
(6, 10)                                                                            0.78244 0.78573
(7, 8)                                                                             0.77764 0.78333
(7, 9)                                                                             0.47489 0.47160
(7, 10)                                                                            0.48396 0.48187
(8, 9)                                                                             0.46151 0.46080
(8, 10)                                                                            0.47644 0.47640
(9, 10)                                                                            0.46444 0.46160
(5, 6, 7)                                                                          0.77911 0.78547
(5, 6, 8)                                                                          0.78800 0.79387
(5, 6, 9)                                                                          0.78689 0.79320
(5, 6, 10)                                                                         0.77827 0.78480
(5, 7, 8)                                                                          0.76622 0.77293
(5, 7, 9)                                                                          0.76631 0.77307
(5, 7, 10)                                                                         0.76631 0.77280
(5, 8, 9)                                                                          0.76551 0.77493
(5, 8, 10)                                                                         0.76547 0.77493
(5, 9, 10)                                                                         0.76764 0.77453
(6, 7, 8)                                                                          0.77578 0.78187
(6, 7, 9)                                                                          0.77609 0.77933
(6, 7, 10)                                                                         0.77178 0.77547
(6, 8, 9)                                                                          0.77951 0.78560
(6, 8, 10)                                                                         0.77502 0.78053
(6, 9, 10)                                                                         0.78000 0.78000
(7, 8, 9)                                                                          0.47858 0.47520
(7, 8, 10)                                                                         0.48947 0.48747
(7, 9, 10)                                                                         0.48996 0.48693
(8, 9, 10)                                                                         0.48356 0.48333
(5, 6, 7, 8)                                                                       0.77911 0.78547
(5, 6, 7, 9)                                                                       0.77871 0.78493
(5, 6, 7, 10)                                                                      0.77738 0.78427
(5, 6, 8, 9)                                                                       0.78187 0.78920
(5, 6, 8, 10)                                                                      0.78098 0.79000
(5, 6, 9, 10)                                                                      0.78507 0.79227
(5, 7, 8, 9)                                                                       0.76631 0.77307
(5, 7, 8, 10)                                                                      0.76627 0.77280
(5, 7, 9, 10)                                                                      0.76627 0.77307
(5, 8, 9, 10)                                                                      0.76600 0.77507
(6, 7, 8, 9)                                                                       0.77027 0.77560
(6, 7, 8, 10)                                                                      0.76622 0.77200
(6, 7, 9, 10)                                                                      0.76991 0.77173
(6, 8, 9, 10)                                                                      0.77142 0.77600
(7, 8, 9, 10)                                                                      0.49373 0.49133
(5, 6, 7, 8, 9)                                                                    0.77871 0.78480
(5, 6, 7, 8, 10)                                                                   0.77840 0.78453
(5, 6, 7, 9, 10)                                                                   0.77764 0.78467
(5, 6, 8, 9, 10)                                                                   0.78249 0.79067
(5, 7, 8, 9, 10)                                                                   0.76627 0.77307
(6, 7, 8, 9, 10)                                                                   0.76333 0.76787
(5, 6, 7, 8, 9, 10)                                                                0.77849 0.78453
(11,)                                                                              0.40902 0.40680
(12,)                                                                              0.41204 0.40813
(13,)                                                                              0.41044 0.41160
(14,)                                                                              0.40209 0.40600
(15,)                                                                              0.39636 0.40213
(16,)                                                                              0.39316 0.39947
(11, 12)                                                                           0.42938 0.42547
(11, 13)                                                                           0.42929 0.42000
(11, 14)                                                                           0.42102 0.41000
(11, 15)                                                                           0.42551 0.41280
(11, 16)                                                                           0.42844 0.41960
(12, 13)                                                                           0.41564 0.41320
(12, 14)                                                                           0.41760 0.40720
(12, 15)                                                                           0.41307 0.40613
(12, 16)                                                                           0.41956 0.41307
(13, 14)                                                                           0.41249 0.40253
(13, 15)                                                                           0.40387 0.39480
(13, 16)                                                                           0.41147 0.40053
